x 0 1 2 3 4 5 6
-15.74999999999994 0.2594671798393637 2.555381874749134e-12 1.3864595200318548e-13 4.175935823292227e-14 1.2577676992924364e-14 7.648493256195231e-16 1.4008704052339084e-17
-15.699999999999939 0.22110291015319122 2.8561437684493707e-12 1.5322747406881044e-13 4.615122827652809e-14 1.3900482829529038e-14 8.452892313844514e-16 1.548201231857332e-17
-15.649999999999938 0.1871634129479884 3.1956241768690134e-12 1.693425481983411e-13 5.100499532468881e-14 1.536240937040523e-14 9.341890758886205e-16 1.711026976777631e-17
-15.599999999999937 0.15754485770861792 3.5794642675014634e-12 1.8715245947055097e-13 5.6369237509430616e-14 1.6978088067744737e-14 1.0324385986560758e-15 1.8909772547775502e-17
-15.549999999999937 0.1319867907718259 4.014245898946052e-12 2.068354554640798e-13 6.229764196952183e-14 1.876368917699871e-14 1.1410211139334797e-15 2.0898530687226908e-17
-15.499999999999936 0.11013694955502483 4.5076674705348e-12 2.2858853021913626e-13 6.88495421694036e-14 2.073708359422952e-14 1.261023352029572e-15 2.3096448346034854e-17
-15.449999999999935 9.160033553677531e-2 5.068755295702352e-12 2.526293958200959e-13 7.60905117284468e-14 2.291802171404581e-14 1.3936463356773246e-15 2.5525523022873606e-17
-15.399999999999935 7.597391050837136e-2 5.7081180055365264e-12 2.791986613312437e-13 8.409302070377342e-14 2.5328331098189664e-14 1.540217400273284e-15 2.821006571355055e-17
-15.349999999999934 6.286939906537929e-2 6.438253113177219e-12 3.0856224089318977e-13 9.293716089494371e-14 2.7992134933110272e-14 1.702203478296126e-15 3.1176944223619266e-17
-15.299999999999933 5.192693357166307e-2 7.273916849604087e-12 3.410140150810162e-13 1.0271144742960749e-13 3.093609346292244e-14 1.8812257808600785e-15 3.445585207040987e-17
-15.249999999999932 4.282205495598955e-2 8.232570795190343e-12 3.7687877215991596e-13 1.1351370465265606e-13 3.41896708140915e-14 2.0790760233406963e-15 3.8079605665733915e-17
-15.199999999999932 3.526815400717741e-2 9.334921774823093e-12 4.165154586753773e-13 1.254520451851434e-13 3.778542988231359e-14 2.2977343574645225e-15 4.208447275355815e-17
-15.149999999999931 2.901596631281779e-2 1.060557507414177e-11 4.603207719109276e-13 1.3864595195173193e-13 4.175935823291937e-14 2.5393891893330447e-15 4.651053538977982e-17
-15.09999999999993 2.3851303843583915e-2 1.207382541306073e-11 5.087331301679914e-13 1.532274740059646e-13 4.61512282765245e-14 2.806459081726557e-15 5.1402091096913314e-17
-15.04999999999993 1.959185128971947e-2 1.3774615454252463e-11 5.622370606037488e-13 1.6934254812158062e-13 5.100499532468434e-14 3.1016169598934575e-15 5.680809620858264e-17
-14.999999999999929 1.60835810977473e-2 1.574969814117609e-11 6.213680485419207e-13 1.871524593767951e-13 5.636923750942506e-14 3.4278168630844772e-15 6.27826558409695e-17
-14.949999999999928 1.319713947687501e-2 1.8049047112019698e-11 6.867178967900382e-13 2.068354553495656e-13 6.229764196951496e-14 3.788323509570287e-15 6.938556539499226e-17
-14.899999999999928 1.082441314880435e-2 2.0732569139427153e-11 7.589406486010913e-13 2.2858853007926786e-13 6.88495421693951e-14 4.186744971039325e-15 7.668290900877995e-17
-14.849999999999927 8.8753895801624e-3 2.3872184388005505e-11 8.387591335585359e-13 2.526293956492597e-13 7.60905117284363e-14 4.627068783392099e-15 8.47477209499454e-17
-14.799999999999926 7.275359807836286e-3 2.7554354734832435e-11 9.26972201898038e-13 2.791986611225834e-13 8.40930207037605e-14 5.113701855340653e-15 9.366071656707078e-17
-14.749999999999925 5.962473030383675e-3 3.1883158039476223e-11 1.0244627196695205e-12 3.085622406383306e-13 9.293716089492776e-14 5.65151457423201e-15 1.0351110011605352e-16
-14.699999999999925 4.885628490388973e-3 3.698402778399455e-11 1.1322064047578557e-12 3.4101401476972975e-13 1.027114474295879e-13 6.245889550521845e-15 1.1439745754628014e-16
-14.649999999999924 4.002677392213184e-3 4.300830379044956e-11 1.2512815921960546e-12 3.7687877177970904e-13 1.1351370465263192e-13 6.902775488749272e-15 1.264287431819398e-16
-14.599999999999923 3.2789018399400774e-3 5.0138771814494456e-11 1.38288002650545e-12 4.1651545821099045e-13 1.2545204518511376e-13 7.628746724171154e-15 1.3972537017353587e-16
-14.549999999999923 2.685736383075929e-3 5.859640899187145e-11 1.528318789076299e-12 4.603207713437232e-13 1.3864595195169548e-13 8.43106902091888e-15 1.5442041563314768e-16
-14.499999999999922 2.1996989306465133e-3 6.864859994747847e-11 1.6890534799621742e-12 5.087331294752052e-13 1.5322747400591982e-13 9.317772290207993e-15 1.7066095251490547e-16
-14.449999999999921 1.8015003597659967e-3 8.061914677807647e-11 1.866692786015963e-12 5.622370597575766e-13 1.693425481215257e-13 1.0297730956388906e-14 1.8860952157056416e-16
-14.39999999999992 1.4753053498776586e-3 9.490046742736225e-11 2.063014581170232e-12 6.213680475084021e-13 1.871524593767277e-13 1.1380752775168405e-14 2.0844575811195087e-16
-14.34999999999992 1.208120354563575e-3 1.1196846404098664e-10 2.279983719999083e-12 6.867178955276947e-13 2.068354553494831e-13 1.2577676992924898e-14 2.3036818986156104e-16
-14.299999999999919 9.89287906732616e-4 1.324006492059232e-10 2.519771702645688e-12 7.589406470592598e-13 2.285885300791666e-13 1.3900482829529632e-14 2.545962238847287e-16
-14.249999999999918 8.100694924627266e-4 1.568982478018526e-10 2.7847784079287015e-12 8.387591316753366e-13 2.5262939564913576e-13 1.5362409370405882e-14 2.813723424892731e-16
-14.199999999999918 6.633019551630524e-4 1.8631315072291659e-10 3.0776561121397897e-12 9.269721995978908e-13 2.791986611224315e-13 1.6978088067745463e-14 3.109645300699681e-16
-14.149999999999917 5.431147848595035e-4 2.2168079031847328e-10 3.4013360339206633e-12 1.0244627168601122e-12 3.085622406381446e-13 1.876368917699951e-14 3.436689551863919e-16
-14.099999999999916 4.446977154642317e-4 2.6426024380945216e-10 3.75905767089008e-12 1.132206401326434e-12 3.4101401476950216e-13 2.07370835942304e-14 3.7981293471743576e-16
-14.049999999999915 3.641098194047372e-4 3.1558315963790156e-10 4.154401221631749e-12 1.2512815880049041e-12 3.768787717794306e-13 2.2918021714046787e-14 4.1975820975867805e-16
